,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
4000,104.15,,,
3999,104.15,,,
3998,104.12,,,
3997,104.09,,,
3996,104.07,,,
3995,104.08,,,
3994,104.1,,,
3993,104.1,,,
3992,104.08,,,
3991,104.05,,,
3990,104.02,,,
3989,104.03,,,
3988,104.05,,,
3987,104.08,,,
3986,104.11,,,
3985,104.12,,,
3984,104.12,,,
3983,104.11,,,
3982,104.11,,,
3981,104.12,,,
3980,104.13,,,
3979,104.14,,,
3978,104.14,,,
3977,104.12,,,
3976,104.1,,,
3975,104.1,,,
3974,104.11,,,
3973,104.12,,,
3972,104.13,,,
3971,104.12,,,
3970,104.12,,,
3969,104.12,,,
3968,104.11,,,
3967,104.1,,,
3966,104.08,,,
3965,104.07,,,
3964,104.07,,,
3963,104.09,,,
3962,104.11,,,
3961,104.14,,,
3960,104.16,,,
3959,104.18,,,
3958,104.19,,,
3957,104.19,,,
3956,104.19,,,
3955,104.18,,,
3954,104.17,,,
3953,104.17,,,
3952,104.16,,,
3951,104.15,,,
3950,104.15,,,
3949,104.16,,,
3948,104.17,,,
3947,104.17,,,
3946,104.15,,,
3945,104.13,,,
3944,104.11,,,
3943,104.12,,,
3942,104.13,,,
3941,104.15,,,
3940,104.17,,,
3939,104.18,,,
3938,104.18,,,
3937,104.16,,,
3936,104.14,,,
3935,104.14,,,
3934,104.16,,,
3933,104.19,,,
3932,104.2,,,
3931,104.2,,,
3930,104.19,,,
3929,104.18,,,
3928,104.16,,,
3927,104.14,,,
3926,104.13,,,
3925,104.14,,,
3924,104.16,,,
3923,104.19,,,
3922,104.21,,,
3921,104.23,,,
3920,104.24,,,
3919,104.26,,,
3918,104.28,,,
3917,104.28,,,
3916,104.27,,,
3915,104.25,,,
3914,104.23,,,
3913,104.23,,,
3912,104.22,,,
3911,104.21,,,
3910,104.2,,,
3909,104.19,,,
3908,104.18,,,
3907,104.17,,,
3906,104.16,,,
3905,104.16,,,
3904,104.17,,,
3903,104.18,,,
3902,104.18,,,
3901,104.17,,,
3900,104.17,,,
3899,104.17,,,
3898,104.18,,,
3897,104.2,,,
3896,104.21,,,
3895,104.23,,,
3894,104.25,,,
3893,104.27,,,
3892,104.28,,,
3891,104.3,,,
3890,104.31,,,
3889,104.3,,,
3888,104.26,,,
3887,104.21,,,
3886,104.18,,,
3885,104.17,,,
3884,104.18,,,
3883,104.2,,,
3882,104.2,,,
3881,104.2,,,
3880,104.2,,,
3879,104.2,,,
3878,104.19,,,
3877,104.19,,,
3876,104.21,,,
3875,104.25,,,
3874,104.29,,,
3873,104.31,,,
3872,104.3,,,
3871,104.28,,,
3870,104.27,,,
3869,104.27,,,
3868,104.27,,,
3867,104.26,,,
3866,104.25,,,
3865,104.22,,,
3864,104.2,,,
3863,104.19,,,
3862,104.21,,,
3861,104.25,,,
3860,104.29,,,
3859,104.31,,,
3858,104.31,,,
3857,104.3,,,
3856,104.3,,,
3855,104.31,,,
3854,104.32,,,
3853,104.33,,,
3852,104.34,,,
3851,104.33,,,
3850,104.32,,,
3849,104.32,,,
3848,104.32,,,
3847,104.32,,,
